label,url,kind,category,confidence,year,tags,path
Sainte Camille,https://ville-cabestany.fr/parcours-de-sante/,page,page_information,low,,,/parcours-de-sante/
Skatepark,https://ville-cabestany.fr/skatepark/,page,page_information,low,,,/skatepark/
Stages sportifs,https://ville-cabestany.fr/stages-sportifs/,page,page_information,low,,,/stages-sportifs/
Stationner en ville,https://ville-cabestany.fr/stationner-en-ville/,page,page_information,low,,,/stationner-en-ville/
Suivez nos Actualités,https://ville-cabestany.fr/nos-actualites/,page,page_information,low,,,/nos-actualites/
Tranquilité publique,https://ville-cabestany.fr/tranquilite-publique/,page,page_information,low,,,/tranquilite-publique/
Transport en commun,https://ville-cabestany.fr/transport-en-commun/,page,page_information,low,,,/transport-en-commun/
Vie Culturelle,https://ville-cabestany.fr/actes-municipaux/,page,page_information,low,,,/actes-municipaux/
Voir les préférences,https://ville-cabestany.fr/actes-municipaux/,page,page_information,low,,,/actes-municipaux/
Vos interlocuteurs,https://ville-cabestany.fr/vos-interlocuteurs/,page,page_information,low,,,/vos-interlocuteurs/
Votre Portail numérique citoyen,https://ville-cabestany.fr/votre-portail-numerique-citoyen/,page,page_information,low,,,/votre-portail-numerique-citoyen/
Zéro pesticides,https://ville-cabestany.fr/zero-pesticides/,page,page_information,low,,,/zero-pesticides/
{title},https://ville-cabestany.fr/actes-municipaux/,page,page_information,low,,,/actes-municipaux/
J'ai un projet de lotissement,https://ville-cabestany.fr/jai-un-projet-de-lotissement/,page,urbanisme,medium,,lotissement,/jai-un-projet-de-lotissement/
La Zone d'Aménagement Différé,https://ville-cabestany.fr/la-zone-damenagement-differe/,page,urbanisme,medium,,amenagement,/la-zone-damenagement-differe/
Le PLU en vigueur,https://ville-cabestany.fr/le-plu-en-vigueur/,page,urbanisme,medium,,plu,/le-plu-en-vigueur/
Permis de louer,https://ville-cabestany.fr/permis-de-louer/,page,urbanisme,medium,,permis,/permis-de-louer/
PLU Intercommunal,https://ville-cabestany.fr/plu-intercommunal/,page,urbanisme,medium,,plu,/plu-intercommunal/
Règlement de voirie,https://ville-cabestany.fr/reglement-de-voirie/,page,urbanisme,medium,,voirie,/reglement-de-voirie/
Une modification simplifiée du PLU,https://ville-cabestany.fr/une-modification-simplifiee-du-plu/,page,urbanisme,medium,,plu,/une-modification-simplifiee-du-plu/
