slug,document_type,year,page,section_title,line_text,value_raw,value_numeric
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"17,75 €","17,75",17.75
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"510 752,61 €","510 752,61",510752.61
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"15 720 295,93 €","15 720 295,93",15720295.93
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"d’ordre de transfert entre sections) : 78,67 %","78,67",78.67
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"90,57 % en 2024 ;","90,57",90.57
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"48,06 % en 2023 ;","48,06",48.06
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"44,92 % en 2022 ;","44,92",44.92
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"64,96 % en 2021 ;","64,96",64.96
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"38,86 % en 2020 ;","38,86",38.86
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"et solde d’exécution de la section d’Investissement) : 69,12 %","69,12",69.12
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"83,81 % en 2024 ;","83,81",83.81
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"10,96 % en 2023 ;","10,96",10.96
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"55,64 % en 2022 ;","55,64",55.64
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"46,66 % en 2021 ;","46,66",46.66
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"31,56 % en 2020 ;","31,56",31.56
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"900 000,11 €","900 000,11",900000.11
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"101 932,80 €","101 932,80",101932.80
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"395 638,66 €","395 638,66",395638.66
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"3 414 035,72 €","3 414 035,72",3414035.72
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 533 400,00 €","1 533 400,00",1533400.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"14 500,00 €","14 500,00",14500.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"550 000,00 €","550 000,00",550000.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"833 154,71 €","833 154,71",833154.71
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"7 742 662,00 €","7 742 662,00",7742662.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"885 414,42 €","885 414,42",885414.42
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"38 540,28 €","38 540,28",38540.28
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"253 351,60 €","253 351,60",253351.60
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"2 302 606,58 €","2 302 606,58",2302606.58
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 511 999,19 €","1 511 999,19",1511999.19
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"14 415,00 €","14 415,00",14415.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"5 006 327,07 €","5 006 327,07",5006327.07
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"728 305,08 €","728 305,08",728305.08
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"2 292 750,81 €","2 292 750,81",2292750.81
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 447 019,11 €","1 447 019,11",1447019.11
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"774 587,00 €","774 587,00",774587.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 950 000,00 €","1 950 000,00",1950000.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"550 000,00 €","550 000,00",550000.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"7 742 662,00 €","7 742 662,00",7742662.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"729 320,42 €","729 320,42",729320.42
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 549 178,07 €","1 549 178,07",1549178.07
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"810 000,00 €","810 000,00",810000.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"2 460 616,50 €","2 460 616,50",2460616.50
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"5 549 114,99 €","5 549 114,99",5549114.99
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 270,13 €","1 270,13",1270.13
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"634,77 €","634,77",634.77
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 430,68 €","1 430,68",1430.68
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"386,64 €","386,64",386.64
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"687,04 €","687,04",687.04
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"65,62 €","65,62",65.62
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"67,76%","67,76",67.76
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 363,00 €","1 363,00",1363.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"675,00 €","675,00",675.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 499,00 €","1 499,00",1499.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"421,00 €","421,00",421.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"803,00 €","803,00",803.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"182,00 €","182,00",182.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"59,03%","59,03",59.03
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"1 049 111,00 €","1 049 111,00",1049111.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"92 368,00 €","92 368,00",92368.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"844 161,00 €","844 161,00",844161.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"99 537,00 €","99 537,00",99537.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"689 048,00 €","689 048,00",689048.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"108 864,00 €","108 864,00",108864.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"643 371,00 €","643 371,00",643371.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"628 655,86 €","628 655,86",628655.86
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"600 244,00 €","600 244,00",600244.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"580 471,00 €","580 471,00",580471.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"568 985,00 €","568 985,00",568985.00
rob-2026,rapport_orientation_budgetaire,2026,,B. Les Dotations 2025 de l'État,"0,00 €","0,00",0.00
